name,code,entry_year,category,actual_1y,label_2x,label_3x,mb_score_3x,pass_3x,mb_score_2x,pass_2x,pts,floor,s1,s2,s3,s4,scp,p_eff,s4_ovmv,catalyst_grade,regime,mb_raw,secondary_mult,resonance,source
宁德时代,300750,2020,3x,3.5,True,True,1.111153734675526,True,1.0874864865898195,True,0.985,0.9,0.92,0.96,0.5,0.985,0.9,5.0,8.0,S+,R1,0.8569903594989748,1.03,1.1,Prompt文件原始样本
韦尔股份,603501,2019,3x,5.5,True,True,1.0684868797172922,True,1.0406133089420586,True,0.94,0.9,0.9,0.94,0.5,0.9175,0.75,6.0,6.0,S+,R2,0.8280918233878107,1.02,1.1,Prompt文件原始样本
紫光国微,002049,2021,3x,3.6,True,True,1.0639808554868417,True,1.0309453959190475,True,0.955,0.9,0.9,0.92,0.5,0.9099999999999999,0.7,8.0,6.0,S+,R2,0.8203983606434995,1.02,1.1,Prompt文件原始样本
中微公司,688012,2022,2x,2.8,True,False,1.0267148978707266,True,1.0174953570415497,True,0.9840000000000001,0.9,0.84,0.9,0.5,0.939,1.0,8.0,4.5,S+,R3,0.8096951848115208,1.02,1.1,扩展正样本：刻蚀设备，制裁加速国产替代
新易盛,300502,2023,3x,4.5,True,True,1.0264171335300005,True,0.9996410343944355,True,0.94,0.9,0.86,0.9,0.5,0.8725,0.75,8.0,5.5,S+,R2,0.7954871995117418,1.02,1.1,Prompt文件原始样本
立讯精密,002475,2019,3x,4.2,True,True,1.0130319993213703,True,0.9891237043893488,True,0.9474999999999999,0.9,0.9,0.92,0.5,0.925,0.8,8.0,5.5,S+,R2,0.8245995934951886,1.02,1.05,Prompt文件原始样本
长川科技,300604,2023,3x,4.2,True,True,1.0066386203241005,True,0.9829456432821962,True,0.9474999999999999,0.9,0.9,0.9,0.5,0.88,0.8,8.0,5.5,S+,R2,0.8063932582141775,0.9894,1.1,扩展正样本：半导体测试设备国产化加速
迈为股份,300751,2021,3x,3.8,True,True,1.0061590667868288,True,0.9869781989718923,True,0.8865000000000001,0.9,0.86,0.88,0.5,0.8565,0.75,10.0,5.0,S+,R2,0.7854104588202605,1.02,1.1,扩展正样本：HJT丝网印刷设备龙头
北方华创,002371,2022,2x,2.6,True,False,1.0004817467868288,True,0.9840943828560296,True,0.9315000000000001,0.9,0.84,0.88,0.5,0.864,0.8,6.0,4.5,S+,R3,0.7831155962376093,1.02,1.1,扩展正样本：半导体设备，制裁后国产化提速
阳光电源,300274,2020,3x,4.5,True,True,0.9759840458036388,True,0.957231612791617,True,0.9240000000000002,0.9,0.86,0.88,0.5,0.9015,0.75,8.0,5.0,S+,R1,0.798012215545899,1.02,1.05,Prompt文件原始样本
中际旭创,300308,2023,3x,5.5,True,True,0.9633476032130398,True,0.942921592178517,True,0.985,0.9,0.92,0.96,0.5,0.94,0.9,5.0,7.0,S+,R2,0.8443936840355639,1.03,1.1,Prompt文件原始样本
寒武纪_24,688256,2024,3x,3.8,True,True,0.9554553331817542,True,0.9281495754531517,True,0.9324999999999999,0.9,0.94,0.96,0.5,0.865,0.7,8.0,6.5,S+,R2,0.8276515431989874,0.910248,1.1,Prompt文件原始样本
隆基绿能,601012,2020,3x,3.2,True,True,0.9550053037510636,True,0.9343101155421147,True,0.879,0.9,0.84,0.88,0.5,0.849,0.7,10.0,4.5,S+,R1,0.7789033242814748,1.02,1.05,Prompt文件原始样本
澜起科技,688008,2023,2x,2.8,True,False,0.9550053037510636,True,0.9393628199989371,True,0.894,0.9,0.84,0.88,0.5,0.864,0.8,10.0,4.5,S+,R2,0.7831155962376093,1.02,1.05,扩展正样本：DDR5内存接口芯片，AI服务器内存扩张
拓荆科技,688072,2022,2x,2.2,True,False,0.9189198573586852,True,0.8990730220923264,True,0.9165000000000001,0.9,0.8,0.86,0.5,0.849,0.7,6.0,4.0,S+,R3,0.7645178759288489,1.0,1.05,扩展正样本：CVD设备国产唯一选择
天孚通信,300394,2023,3x,4.5,True,True,0.9132391607064007,True,0.8917445011219925,True,0.9474999999999999,0.9,0.9,0.9,0.5,0.88,0.8,5.0,5.5,S+,R2,0.8063932582141775,1.02,1.1,扩展正样本：光器件，AI光互连需求爆发
天齐锂业,002466,2021,3x,4.2,True,True,0.9111733751045733,True,0.8964500531219308,True,0.894,0.9,0.84,0.88,0.5,0.8190000000000001,0.8,15.0,5.0,S+,R2,0.7704542754575462,0.9894,1.05,Prompt文件原始样本（周期股）
寒武纪,688256,2023,3x,3.2,True,True,0.9030377082730704,True,0.8810854731517783,True,0.9090000000000001,0.9,0.82,0.88,0.5,0.8415,0.65,6.0,5.0,S+,R2,0.7723941660984099,0.97,1.05,Prompt文件原始样本
药明康德,603259,2020,2x,3.0,True,True,0.8948036223658611,True,0.8965654719045231,True,0.8364999999999999,0.9,0.88,0.84,0.5,0.844,0.8,12.0,2.5,S,R1,0.7751197149639684,1.02,1.05,2x Patch样本（CXO）
卓胜微,300782,2020,3x,3.5,True,True,0.8774260572772629,True,0.8608219575464953,True,0.9240000000000002,0.9,0.88,0.9,0.5,0.7965,0.75,8.0,5.0,S+,R1,0.7784303937000246,1.02,1.1,扩展正样本：射频芯片国产化，5G手机渗透加速
海光信息,688041,2023,2x,2.5,True,False,0.8748186004902592,True,0.8675788254094048,True,0.874,0.9,0.84,0.88,0.5,0.784,0.7,8.0,3.0,S+,R2,0.7605537076665656,0.97,1.05,2x Patch样本（国产CPU）
亿纬锂能,300014,2019,3x,3.5,True,True,0.8708998063492314,True,0.8590855589047627,True,0.879,0.9,0.82,0.88,0.5,0.789,0.7,8.0,4.2,S,R2,0.7575710395985561,1.0,1.05,Prompt文件原始样本
奥特维,688516,2021,3x,3.8,True,True,0.8669597962025316,True,0.8552026381183626,True,0.8115,0.9,0.82,0.86,0.5,0.7965000000000001,0.65,12.0,4.0,S,R2,0.7541469471943233,1.0,1.05,Prompt文件原始样本
电科芯片,688595,2022,2x,2.4,True,False,0.8594263787012698,True,0.8478104324709991,True,0.8414999999999999,0.9,0.8,0.86,0.5,0.789,0.7,10.0,3.5,S,R3,0.7476282473289233,1.0,1.05,扩展正样本：军用芯片国产化
闻泰科技,600745,2019,3x,3.8,True,True,0.8587006387017221,True,0.849567538981079,True,0.819,0.9,0.84,0.88,0.5,0.744,0.7,12.0,4.5,S,R2,0.7491777239692053,1.0,1.05,Prompt文件原始样本
罗博特科,688619,2024,3x,2.5,True,True,0.855464669753224,True,0.8415097474565332,True,0.8039999999999999,0.9,0.8,0.84,0.5,0.789,0.6,10.0,3.5,S,R2,0.7420720877041738,1.0,1.05,Prompt文件原始样本
盐湖股份,000792,2021,2x,3.0,True,True,0.849288086304357,True,0.8521562167363798,True,0.7865000000000001,0.85,0.84,0.84,0.5,0.739,0.8,20.0,3.0,S,R2,0.7367259888096792,1.02,1.05,2x Patch样本（盐湖资源周期）
赣锋锂业,002460,2020,2x,2.2,True,False,0.8441044463043571,True,0.8446019512166323,True,0.829,0.9,0.82,0.84,0.5,0.7315,0.75,12.0,2.5,S,R1,0.7301949988040185,1.02,1.05,2x Patch样本（锂资源周期）
恒玄科技,688608,2023,2x,2.5,True,False,0.8403158504851365,True,0.8381683893538298,True,0.7915,0.85,0.88,0.84,0.5,0.7165,0.65,12.0,3.0,S,R2,0.7391255638040826,1.0,1.05,2x Patch样本（TWS芯片）
国联股份,603613,2019,3x,3.2,True,True,0.8390115443969316,True,0.8253721710698241,True,0.8039999999999999,0.9,0.8,0.85,0.5,0.729,0.6,10.0,3.5,S,R2,0.7278414206964938,1.0,1.05,Prompt文件原始样本
胜宏科技,300476,2023,3x,3.2,True,True,0.8128398097664927,True,0.7974961723825644,True,0.894,0.9,0.86,0.88,0.5,0.804,0.7,5.0,4.0,S+,R2,0.770617049689398,1.0,1.05,扩展正样本：AI服务器PCB，P_eff=5.4%（价值量修正）
科沃斯,603486,2020,2x,3.0,True,True,0.8025854002412306,True,0.7938528908558169,True,0.7689999999999999,0.85,0.84,0.8,0.5,0.649,0.5,12.0,3.0,S,R1,0.7000466409663287,1.0,1.05,2x Patch样本（扫地机器人）
石头科技,688169,2020,2x,2.8,True,False,0.7997672002412305,False,0.7935219664170269,True,0.7765,0.85,0.88,0.8,0.45,0.6565000000000001,0.55,15.0,3.0,S,R1,0.6997548204735686,1.0,1.05,2x Patch样本（扫地机器人）
赛力斯,601127,2024,2x,3.0,True,True,0.7879894918680267,False,0.773662410197699,True,0.6609999999999999,0.85,0.8,0.88,0.45,0.606,0.5,20.0,2.0,S,R2,0.6895512273108165,0.9894,1.05,2x Patch样本（新能源车）
圣邦股份,300661,2019,2x,2.8,True,False,0.7765408512775257,False,0.7639499219491188,True,0.8039999999999999,0.9,0.82,0.8,0.45,0.729,0.6,15.0,3.5,S,R2,0.7073610388417766,1.0,1.0,2x Patch样本（模拟芯片）
工业富联,601138,2023,2x,2.2,True,False,0.7698872982005223,False,0.7618168134037722,True,0.7709999999999999,0.85,0.8,0.82,0.5,0.756,0.7,12.0,2.0,S,R2,0.7272019982853877,0.97,1.0,扩展正样本：AI服务器代工，算力需求爆发
鼎阳科技,688112,2022,2x,2.3,True,False,0.7688636189212893,False,0.7673205249081961,True,0.7915,0.85,0.8,0.8,0.5,0.7165,0.65,10.0,3.0,S,R2,0.710481967507589,1.0,1.0,扩展正样本：示波器国产替代，研发加速
汇川技术,300124,2020,2x,2.5,True,False,0.7632965417948799,False,0.7708360259783117,True,0.7364999999999999,0.85,0.82,0.76,0.5,0.724,0.7,18.0,2.5,A,R1,0.7058937966834355,1.0,1.05,2x Patch样本（工控龙头）
英伟达供应链_沪电股份,002463,2023,2x,2.5,True,False,0.7629246206582279,False,0.7525783215441592,True,0.8490000000000001,0.9,0.82,0.86,0.5,0.7965000000000001,0.65,8.0,3.5,S,R2,0.7541469471943233,1.0,1.05,扩展正样本：高速PCB，AI推动需求
天合光能,688599,2021,3x,2.8,True,True,0.7528089093828371,False,0.7405285777617492,True,0.8039999999999999,0.9,0.8,0.84,0.5,0.789,0.6,12.0,3.5,S,R2,0.7420720877041738,1.0,1.05,Prompt文件原始样本
